id,question,sql,expectedResult
q001,How many transaction lines are in this retail dataset?,SELECT COUNT(*) AS transaction_line_count FROM transactions;,"[{""transaction_line_count"":27675}]"
q002,What is the total gross sales amount before returns (incl. VAT; exclude returned items) for the full Q1 2025 period?,"SELECT ROUND(SUM(grossSalesInclVat), 2) AS total_gross_sales_incl_vat FROM transactions WHERE businessDate >= '2025-01-01' AND businessDate <= '2025-03-31' AND returnFlag = 'No';","[{""total_gross_sales_incl_vat"":167509.99}]"
q003,"Which business day had the highest gross revenue before returns (incl. VAT; exclude returned items), and what was that amount?","SELECT businessDate, ROUND(SUM(grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions WHERE returnFlag = 'No' GROUP BY businessDate ORDER BY revenue_incl_vat DESC LIMIT 1;","[{""businessDate"":""2025-02-06"",""revenue_incl_vat"":2247.45}]"
q004,What payment method appears most often in the transactions?,"SELECT paymentMethod, COUNT(DISTINCT transactionId) AS transaction_count
FROM transactions
GROUP BY paymentMethod
ORDER BY transaction_count DESC
LIMIT 1;","[{""paymentMethod"":""Mobile Wallet"",""transaction_count"":2234}]"
q005,Can you show me the top 3 stores by total gross revenue before returns (incl. VAT; exclude returned items)?,"SELECT t.storeId, s.storeName, ROUND(SUM(t.grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions t JOIN stores s ON s.storeId = t.storeId WHERE t.returnFlag = 'No' GROUP BY t.storeId, s.storeName ORDER BY revenue_incl_vat DESC LIMIT 3;","[{""storeId"":""ST001"",""storeName"":""North Harbor Hyper"",""revenue_incl_vat"":15352.52},{""storeId"":""ST002"",""storeName"":""Rainier Express"",""revenue_incl_vat"":14334.34},{""storeId"":""ST007"",""storeName"":""Canyon Plaza Hyper"",""revenue_incl_vat"":14329.05}]"
q006,Which store brought in the least total gross revenue before returns (incl. VAT; exclude returned items)?,"SELECT t.storeId, s.storeName, ROUND(SUM(t.grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions t JOIN stores s ON s.storeId = t.storeId WHERE t.returnFlag = 'No' GROUP BY t.storeId, s.storeName ORDER BY revenue_incl_vat ASC LIMIT 1;","[{""storeId"":""ST008"",""storeName"":""Magnolia Fresh"",""revenue_incl_vat"":12975.95}]"
q007,What share of all transaction lines are returns?,"SELECT ROUND(100.0 * SUM(CASE WHEN returnFlag = 'Yes' THEN 1 ELSE 0 END) / COUNT(*), 2) AS return_line_pct FROM transactions;","[{""return_line_pct"":1.2}]"
q008,How much discount value was given in total (incl. VAT)?,"SELECT ROUND(SUM(lineDiscountInclVat), 2) AS total_discount_incl_vat FROM transactions;","[{""total_discount_incl_vat"":3591.18}]"
q009,Which department made the most gross revenue before returns (incl. VAT; exclude returned items)?,"SELECT department, ROUND(SUM(grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions WHERE returnFlag = 'No' GROUP BY department ORDER BY revenue_incl_vat DESC LIMIT 1;","[{""department"":""Beverage"",""revenue_incl_vat"":52419.33}]"
q010,What are the top 3 product categories by gross revenue before returns (incl. VAT; exclude returned items)?,"SELECT category, ROUND(SUM(grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions WHERE returnFlag = 'No' GROUP BY category ORDER BY revenue_incl_vat DESC LIMIT 3;","[{""category"":""Alcohol"",""revenue_incl_vat"":52419.33},{""category"":""Cleaning"",""revenue_incl_vat"":24411.05},{""category"":""Personal Care"",""revenue_incl_vat"":17876.17}]"
